question                               date        workout_type   duration  intensity  calories_burned
-------------------------------------  ----------  -------------  --------  ---------  ---------------
Workout history for user: JaneDoe      2023-11-09  Cycling        45        Moderate   400            
Workout history for user: JaneDoe      2023-11-09  Cycling        45        Moderate   400            
Workout history for user: deborahwood  2023-09-22  Swimming       60        Low        565            
Workout history for user: deborahwood  2023-09-19  Running        40        Medium     242            
Workout history for user: deborahwood  2023-09-13  Swimming       82        Medium     693            
Workout history for user: deborahwood  2023-09-09  Swimming       81        Low        183            
Workout history for user: deborahwood  2023-08-07  Yoga           66        Medium     322            
Workout history for user: deborahwood  2023-07-10  Yoga           75        Low        307            
Workout history for user: deborahwood  2023-06-30  Running        71        Low        654            
Workout history for user: deborahwood  2023-06-29  Running        57        Low        443            
Workout history for user: deborahwood  2023-06-24  Yoga           37        High       329            
Workout history for user: deborahwood  2023-05-02  Weightlifting  56        Low        308            
Workout history for user: deborahwood  2023-04-26  Swimming       62        Low        267            
Workout history for user: deborahwood  2023-04-21  Cycling        67        Low        582            
Workout history for user: deborahwood  2023-04-17  Weightlifting  60        Low        518            
Workout history for user: deborahwood  2022-12-28  Weightlifting  89        High       137            
Workout history for user: deborahwood  2022-12-26  Swimming       96        Low        669            
Workout history for user: deborahwood  2022-12-23  Running        73        Medium     688            
Workout history for user: deborahwood  2022-12-05  Swimming       85        Medium     683            
Workout history for user: donald43     2023-10-21  Weightlifting  110       Medium     206            
Workout history for user: donald43     2023-08-31  Running        106       Low        575            
Workout history for user: donald43     2023-07-28  Swimming       87        Medium     649            
Workout history for user: donald43     2023-07-14  Weightlifting  54        Medium     693            
Workout history for user: donald43     2023-06-05  Yoga           42        Medium     590            
Workout history for user: donald43     2023-05-23  Cycling        119       Low        528            
Workout history for user: donald43     2023-04-25  Yoga           30        Low        218            
Workout history for user: donald43     2023-04-24  Yoga           79        Low        348            
Workout history for user: donald43     2023-03-15  Running        111       High       267            
Workout history for user: donald43     2023-03-06  Weightlifting  106       Medium     190            
Workout history for user: donald43     2023-03-06  Yoga           86        Low        625            
Workout history for user: donald43     2023-02-24  Yoga           82        Medium     551            
Workout history for user: donald43     2023-02-04  Running        43        Medium     136            
Workout history for user: donald43     2023-01-25  Cycling        98        High       202            
Workout history for user: donald43     2023-01-14  Cycling        82        High       270            
Workout history for user: donald43     2023-01-12  Running        99        Low        294            
Workout history for user: donald43     2022-12-28  Weightlifting  102       Low        399            
Workout history for user: donald43     2022-12-02  Yoga           85        Medium     119            
Workout history for user: donald43     2022-11-16  Running        101       Low        515            
Workout history for user: donald43     2022-11-12  Running        82        Low        542            
Workout history for user: hooverjason  2023-09-27  Weightlifting  43        Low        396            
Workout history for user: hooverjason  2023-09-12  Running        93        Medium     215            
Workout history for user: hooverjason  2023-07-28  Yoga           29        High       191            
Workout history for user: hooverjason  2023-07-05  Yoga           104       High       164            
Workout history for user: hooverjason  2023-06-20  Weightlifting  119       Medium     319            
Workout history for user: hooverjason  2023-06-17  Running        109       Low        270            
Workout history for user: hooverjason  2023-06-08  Cycling        42        Low        592            
Workout history for user: hooverjason  2023-04-21  Swimming       38        High       474            
Workout history for user: hooverjason  2023-04-16  Running        112       Low        497            
Workout history for user: hooverjason  2023-04-04  Weightlifting  113       Low        143            
Workout history for user: hooverjason  2023-03-02  Yoga           51        Medium     514            
Workout history for user: hooverjason  2023-02-19  Yoga           34        Low        539            
Workout history for user: hooverjason  2023-01-29  Swimming       53        Medium     687            
Workout history for user: icollins     2023-11-05  Swimming       75        High       668            
Workout history for user: icollins     2023-10-06  Swimming       105       High       572            
Workout history for user: icollins     2023-09-17  Running        49        High       238            
Workout history for user: icollins     2023-09-16  Weightlifting  106       Low        140            
Workout history for user: icollins     2023-07-25  Running        51        Low        451            
Workout history for user: icollins     2023-07-25  Swimming       99        Low        425            
Workout history for user: icollins     2023-07-18  Weightlifting  25        Low        157            
